"gbifID","occurrenceID","year","country","latitude","longitude"
1264876430,4813,2013,"Brazil",2.53,-61.97
1264876423,4817,2013,"Brazil",3.1,-62.63
1264876413,4818,2013,"Brazil",3.19,-52.22
1264876403,4783,2013,"Brazil",-0.8,-47.76
1264876400,4768,2013,"Brazil",-1.1,-48.22
1264876399,4807,2013,"Brazil",1.07,-50.33
1264876396,4819,2013,"Brazil",3.72,-62.71
1264876393,4815,2013,"Brazil",2.79,-60.14
1264876392,4796,2013,"Brazil",0.31,-62.11
1264876387,4785,2013,"Brazil",-0.77,-47.22
1264876384,4812,2013,"Brazil",2.3,-60.6
1264876380,4814,2013,"Brazil",2.63,-51.37
1264876379,4782,2013,"Brazil",-0.81,-47.49
1264876375,4767,2013,"Brazil",-1.1,-46.5
1264876374,4770,2013,"Brazil",-1.06,-46.92
1264876372,4806,2013,"Brazil",0.95,-59.35
1264876371,4805,2013,"Brazil",0.88,-51.45
1264876370,4780,2013,"Brazil",-0.82,-47.64
1264876369,4795,2013,"Brazil",0.27,-57.24
1264876368,4822,2013,"Brazil",4.72,-60.2
1264876366,4808,2013,"Brazil",1.23,-52.41
1264876364,4816,2013,"Brazil",3.02,-60.64
1264876362,4784,2013,"Brazil",-0.79,-50
1264876360,4786,2013,"Brazil",-0.75,-47.87
1264876359,4742,2013,"Brazil",-1.4,-48.32
1264876358,4800,2013,"Brazil",0.61,-51.7
1264876357,4734,2013,"Brazil",-1.57,-50.01
1264876356,4781,2013,"Brazil",-0.81,-48.67
1264876355,4811,2013,"Brazil",2.18,-61.67
1264876353,4791,2013,"Brazil",-0.14,-63.38
1264876352,4809,2013,"Brazil",1.64,-52.34
1264876350,4745,2013,"Brazil",-1.39,-68.79
1264876349,4757,2013,"Brazil",-1.19,-48.25
1264876348,4769,2013,"Brazil",-1.08,-58.44
1264876347,4804,2013,"Brazil",0.85,-60.19
1264876346,4810,2013,"Brazil",1.68,-50.25
1264876345,4821,2013,"Brazil",4.17,-60.97
1264876344,4794,2013,"Brazil",0.18,-51.34
1264876343,4743,2013,"Brazil",-1.39,-47.31
1264876342,4771,2013,"Brazil",-1.02,-54.36
1264876341,4779,2013,"Brazil",-0.82,-48.03
1264876340,4738,2013,"Brazil",-1.49,-47.15
1264876339,4776,2013,"Brazil",-0.9,-47.32
1264876338,4762,2013,"Brazil",-1.16,-50.57
1264876337,4764,2013,"Brazil",-1.12,-51.67
1264876335,4731,2013,"Brazil",-1.69,-45.12
1264876334,4741,2013,"Brazil",-1.43,-49.71
1264876333,4697,2013,"Brazil",-2.37,-44.54
1264876332,4733,2013,"Brazil",-1.65,-48.08
1264876331,4787,2013,"Brazil",-0.71,-47.34
1264876330,4799,2013,"Brazil",0.59,-50.66
1264876328,4790,2013,"Brazil",-0.22,-60.95
1264876327,4737,2013,"Brazil",-1.53,-45.06
1264876326,4772,2013,"Brazil",-0.99,-47.86
1264876325,4756,2013,"Brazil",-1.21,-47.74
1264876324,4744,2013,"Brazil",-1.39,-46
1264876323,4755,2013,"Brazil",-1.22,-60.02
1264876322,4766,2013,"Brazil",-1.11,-57.74
1264876321,4803,2013,"Brazil",0.78,-52.94
1264876320,4778,2013,"Brazil",-0.86,-47.01
1264876319,4732,2013,"Brazil",-1.66,-45.94
1264876318,4793,2013,"Brazil",0.07,-55.67
1264876317,4761,2013,"Brazil",-1.17,-47.39
1264876316,4775,2013,"Brazil",-0.92,-48.14
1264876315,4820,2013,"Brazil",3.84,-60.03
1264876314,4748,2013,"Brazil",-1.37,-45.9
1264876313,4682,2013,"Brazil",-2.57,-59.98
1264876312,4727,2013,"Brazil",-1.74,-48.84
1264876311,4760,2013,"Brazil",-1.17,-47.57
1264876310,4740,2013,"Brazil",-1.45,-48.64
1264876309,4798,2013,"Brazil",0.49,-50.69
1264876308,4724,2013,"Brazil",-1.84,-47.41
1264876307,4726,2013,"Brazil",-1.77,-46.19
1264876306,4720,2013,"Brazil",-1.89,-46.1
1264876305,4751,2013,"Brazil",-1.34,-48.39
1264876304,4730,2013,"Brazil",-1.71,-45.46
1264876303,4763,2013,"Brazil",-1.13,-47.27
1264876302,4789,2013,"Brazil",-0.25,-65.81
1264876301,4754,2013,"Brazil",-1.27,-47.94
1264876300,4736,2013,"Brazil",-1.55,-47.62
1264876299,4802,2013,"Brazil",0.77,-59.79
1264876298,4695,2013,"Brazil",-2.39,-46.92
1264876297,4690,2013,"Brazil",-2.48,-50.21
1264876296,4765,2013,"Brazil",-1.11,-49.08
1264876295,4722,2013,"Brazil",-1.89,-49.46
1264876294,4687,2013,"Brazil",-2.51,-59.6
1264876293,4777,2013,"Brazil",-0.87,-47.96
1264876292,4792,2013,"Brazil",-0.04,-51.98
1264876291,4739,2013,"Brazil",-1.46,-47.95
1264876290,4677,2013,"Brazil",-2.65,-43.19
1264876288,4716,2013,"Brazil",-1.93,-47.78
1264876287,4747,2013,"Brazil",-1.37,-45.71
1264876286,4728,2013,"Brazil",-1.73,-45.78
1264876285,4750,2013,"Brazil",-1.36,-48.28
1264876284,4710,2013,"Brazil",-2.04,-45.82
1264876283,4719,2013,"Brazil",-1.91,-56.42
1264876282,4708,2013,"Brazil",-2.07,-44.83
1264876281,4797,2013,"Brazil",0.36,-67.97
